KernelNum: 0, AvgDistance: NaN, RepTimes: 0.0
KernelNum: 1, AvgDistance: NaN, RepTimes: 0.0
KernelNum: 2, AvgDistance: 17831.876667327095, RepTimes: 100.0
KernelNum: 3, AvgDistance: 12255.104234883562, RepTimes: 100.0
KernelNum: 4, AvgDistance: 9036.241564504218, RepTimes: 100.0
KernelNum: 5, AvgDistance: 6550.861603878451, RepTimes: 100.0
KernelNum: 6, AvgDistance: 5672.668586936194, RepTimes: 100.0
KernelNum: 7, AvgDistance: 5537.355008816707, RepTimes: 100.0
KernelNum: 8, AvgDistance: 3643.6585593585123, RepTimes: 100.0
KernelNum: 9, AvgDistance: 4053.3676445203514, RepTimes: 100.0
KernelNum: 10, AvgDistance: 2625.8794408302215, RepTimes: 100.0
KernelNum: 11, AvgDistance: 3054.130484265076, RepTimes: 100.0
KernelNum: 12, AvgDistance: 2870.4310352503503, RepTimes: 100.0
KernelNum: 13, AvgDistance: 2362.6315189037473, RepTimes: 100.0
KernelNum: 14, AvgDistance: 1934.9116171118728, RepTimes: 100.0
KernelNum: 15, AvgDistance: 2306.9735998303504, RepTimes: 100.0
KernelNum: 16, AvgDistance: 1622.8165952377822, RepTimes: 100.0
KernelNum: 17, AvgDistance: NaN, RepTimes: 0.0
KernelNum: 18, AvgDistance: NaN, RepTimes: 0.0
KernelNum: 19, AvgDistance: NaN, RepTimes: 0.0
